APN,FORMATTED_ADDRESS,COMMUNITY,ABOVEGROUNDAREA,BELOWGROUNDAREA,PARCEL_AREA_SQFT,YEARBUILT,BATHROOMS,BEDROOMS,NUM_STORIES,FIREPLACES,CONSTRUCTIONTYPE,Assessed Value,Sale Price,Recommend Sale
4.02924E+11,3851 Fremont Ave N,CAMDEN,520,520,5071,1929,1,1,1,0,Wood Frame,67500,134946,Sell
1.00282E+12,4326 5TH Ave S,NOKOMIS,520,520,5240,1925,1,1,1,0,Wood Frame,139000,114460,Not Sell
1.90282E+12,5556 35TH Ave S,NOKOMIS,520,390,5040,1940,1,1,1,1,Wood Frame,135000,215340,Sell
2.70292E+12,1901 Stevens Ave #104,CENTRAL,520,,6400,1919,1,1,1,0,Wood Frame,120000,115012,Not Sell
2.70292E+12,1901 Stevens Ave #304,CENTRAL,520,,6400,1919,1,1,1,0,Wood Frame,122500,109610,Not Sell
3.40292E+12,2530 1ST Ave S #N205,POWDERHORN,524,,36028,1964,1,1,1,0,Concrete,84500,104500,Sell
3.40292E+12,2525 3RD Ave S #1,POWDERHORN,525,,25185,1966,1,1,1,0,Wood Frame,59000,86500,Sell
3.40292E+12,2525 3RD Ave S #110,POWDERHORN,525,,25185,1966,1,1,1,0,NA,73000,86000,Sell
3.40292E+12,2525 3RD Ave S #201,POWDERHORN,525,,25185,2004,1,1,1,0,NA,83000,90000,Sell
1.21182E+12,5201 Colfax Ave N,CAMDEN,528,528,4411,1927,1,1,1,0,Wood Frame,78500,115000,Sell
1.60282E+12,5324 Newton Ave S,SOUTHWEST,528,528,5207,1925,1,1,1,0,Wood Frame,205500,242000,Sell
6.02823E+11,3608 43RD Ave S,LONGFELLOW,528,528,5080,1921,2,2,1,0,Wood Frame,207500,163000,Not Sell
2.50292E+12,1920 1ST St S #D105,UNIVERSITY,530,,44866,1973,1,0,1,0,Other,95500,99000,Sell
2.50292E+12,1920 1ST St S #205,UNIVERSITY,530,,44866,1973,1,0,1,0,Other,96500,91000,Not Sell
2.40282E+12,5708 24TH Ave S,NOKOMIS,532,399,5000,1924,1,1,1,0,Wood Frame,110500,138009,Sell
3.30292E+12,2639 Colfax Ave S #203,CALHOUN-ISLE,535,,10308,1960,1,1,1,0,Wood Frame,115000,138900,Sell
1.20282E+12,4324 Nokomis Ave,NOKOMIS,540,540,5080,1917,1,1,1,0,Wood Frame,164000,177500,Sell
3.02824E+11,3213 Grand Ave S #3,POWDERHORN,541,,5217,1912,1,1,1,0,Wood Frame,105500,131000,Sell
2.80292E+12,1936 Aldrich Ave S #203,CALHOUN-ISLE,543,,31950,1905,1,1,1,0,Wood Frame,120500,125000,Sell
3.40292E+12,2201 3RD Ave S #204,POWDERHORN,543,,11950,1951,1,1,1,0,Concrete,140500,142590,Not Sell
2.30292E+12,20 2ND St NE #P402,UNIVERSITY,544,,71491,1983,1,0,1,0,Concrete,136500,181875,Sell
1.02824E+11,3319 Snelling Ave,LONGFELLOW,550,275,6000,1918,1,1,1,0,Wood Frame,110500,134750,Sell
2.30292E+12,401 1ST St S #201,CENTRAL,551,,70777,1989,1,0,1,0,Reinforced Concrete,172500,217000,Sell
4.02924E+11,812 36TH Ave N,CAMDEN,552,552,5030,1900,1,1,1,0,Wood Frame,0,7500,Sell
1.80282E+12,5204 43RD Ave S,NOKOMIS,560,560,5120,1917,1,1,1,0,Wood Frame,161000,175500,Sell
1.02924E+11,2934 Tyler St,NORTHEAST,560,,4680,1925,1,2,1,0,Wood Frame,102000,132918,Sell
2.40282E+12,5736 Standish Ave,NOKOMIS,560,560,5000,1927,1,2,1.2,1,Wood Frame,146500,145000,Not Sell
8.02824E+11,3823 Vincent Ave S,SOUTHWEST,564,282,2875,1908,2,1,1,0,Wood Frame,234500,250000,Sell
3.30292E+12,2212 Aldrich Ave S #103,CALHOUN-ISLE,568,,13753,1968,1,1,1,0,Wood Frame,108000,107670,Not Sell
3.30292E+12,2212 Aldrich Ave S #202,CALHOUN-ISLE,568,,13753,1968,1,1,1,0,Wood Frame,104000,127000,Sell
1.90282E+12,3625 Boardman St,NOKOMIS,570,570,6750,1925,1,1,1,1,Wood Frame,185000,155200,Not Sell
3.40292E+12,2201 3RD Ave S #302,POWDERHORN,570,,11950,1951,1,1,1,0,Concrete,146000,165492,Sell
1.21182E+12,4558 Dupont Ave N,CAMDEN,572,440,4758,1923,1,1,1.2,0,Wood Frame,106500,129900,Sell
3.40292E+12,2201 3RD Ave S #301,POWDERHORN,572,,11950,1951,1,1,1,0,Concrete,146000,154000,Sell
5.02924E+11,3927 Washburn Ave N,CAMDEN,572,572,5076,1924,1,2,1,0,Wood Frame,118000,80000,Not Sell
1.20292E+12,2722 Benjamin St,NORTHEAST,572,572,6300,1928,1,2,1,0,Wood Frame,169500,197395,Sell
3.10292E+12,2832 36TH Ave S,LONGFELLOW,574,462,5120,1911,1,1,1.2,0,Wood Frame,162500,164000,Not Sell
3.30292E+12,2446 Aldrich Ave S #105,CALHOUN-ISLE,574,,23292,1971,1,1,1,0,Wood Frame,116000,139000,Sell
3.10292E+12,2625 38TH Ave S,LONGFELLOW,575,575,5160,1923,1,1,1,0,Wood Frame,195500,161500,Not Sell
2.02824E+11,3237 15TH Ave S #24,POWDERHORN,576,,8622,1963,1,1,1,0,Wood Frame,106000,94000,Not Sell
7.02823E+11,4122 Dight Ave,LONGFELLOW,576,576,5850,1918,1,1,1,0,Wood Frame,136500,165000,Sell
8.02924E+11,3346 Russell Ave N,CAMDEN,576,576,5144,1922,1,1,1,0,Wood Frame,93000,135300,Sell
2.10282E+12,5751 Dupont Ave S,SOUTHWEST,576,576,6615,1947,1,1,1,0,Wood Frame,200500,205000,Not Sell
4.02924E+11,3819 Dupont Ave N,CAMDEN,577,577,5095,1914,1,1,1,0,Wood Frame,80500,147750,Sell
1.90282E+12,5420 44TH Ave S,NOKOMIS,580,216,5120,1924,1,1,1,0,Wood Frame,139500,162525,Sell
6.02823E+11,3210 35TH St E,LONGFELLOW,584,384,1435,1914,1,1,1.7,0,Wood Frame,145500,159953,Sell
1.80282E+12,4704 36TH Ave S,NOKOMIS,584,146,5080,1921,1,1,1,0,Wood Frame,165500,171000,Sell
6.02823E+11,3601 38TH Ave S,LONGFELLOW,585,288,4864,1908,1,1,1.5,0,Wood Frame,157500,144045,Not Sell
2.70292E+12,1900 Stevens Ave #36,CENTRAL,585,,6400,1926,1,1,1,1,Concrete,100000,116400,Sell
2.70292E+12,520 Ridgewood Ave #1,CENTRAL,586,,14500,1971,1,1,1,0,Wood Frame,106000,122500,Sell
3.40292E+12,2218 Nicollet Ave #B-1,POWDERHORN,586,,12923,1916,1,1,1,0,Wood Frame,101500,92837,Not Sell
2.10282E+12,5624 Logan Ave S,SOUTHWEST,588,588,5080,1923,1,1,1,0,Wood Frame,165500,251000,Sell
3.30292E+12,2739 Girard Ave S #306,CALHOUN-ISLE,590,,10300,1923,1,1,1,0,Wood Frame,139000,145000,Sell
1.50282E+12,4608 3RD Ave S,NOKOMIS,592,592,5334,1922,1,1,1,0,Wood Frame,189500,212850,Sell
2.50292E+12,1920 1ST St S #1808,UNIVERSITY,593,,44866,1973,1,1,1,0,Other,128500,140000,Sell
4.02824E+11,3018 Aldrich Ave S #B102,CALHOUN-ISLE,594,,11634,1963,1,1,1,0,Wood Frame,145000,115000,Not Sell
1.90282E+12,5600 40TH Ave S,NOKOMIS,594,594,5376,1949,1,1,1,0,Wood Frame,169000,185000,Sell
2.70292E+12,1821 1ST Ave S #302,CENTRAL,595,,7680,1915,1,2,1,0,Wood Frame,93000,109500,Sell
1.20282E+12,4017 26TH Ave S,POWDERHORN,596,,5080,1910,1,1,1,0,Wood Frame,126500,150000,Sell
2.50292E+12,1920 1ST St S #507,UNIVERSITY,596,,44866,1973,1,1,1,0,Other,120000,134500,Sell
2.50292E+12,1920 1ST St S #1307,UNIVERSITY,596,,44866,1973,1,1,1,0,Other,129500,138000,Sell
3.02824E+11,3236 Garfield Ave #203,POWDERHORN,598,,10148,1966,1,1,0,0,Wood Frame,121500,135000,Sell
5.02823E+11,3215 46TH Ave S,LONGFELLOW,598,264,4960,1900,1,2,1.7,0,Wood Frame,185500,170000,Not Sell
6.02823E+11,3814 33RD St E,LONGFELLOW,599,414,1819,1921,1,1,1.2,0,Wood Frame,104000,147500,Sell
7.02823E+11,3819 42ND St E,LONGFELLOW,600,600,5200,1916,1,1,1,0,Wood Frame,160500,222000,Sell
1.20282E+12,3817 Cedar Ave,POWDERHORN,600,456,4894,1900,1,1,1,0,Wood Frame,129500,177800,Sell
2.80292E+12,1913 Dupont Ave S #9,CALHOUN-ISLE,600,,20890,1912,1,1,1,0,Brick & Mill,118000,90000,Not Sell
1.10292E+12,914 20TH Ave NE,NORTHEAST,600,600,3024,1924,1,2,1,0,Wood Frame,160000,186000,Sell
1.21182E+12,4730 Colfax Ave N,CAMDEN,600,300,5198,1924,1,2,1,0,Wood Frame,97000,144501,Sell
3.02824E+11,3236 Garfield Ave #002,POWDERHORN,601,,10148,1966,1,1,1,0,Wood Frame,107500,119500,Sell
3.02824E+11,3236 Garfield Ave #101,POWDERHORN,601,,10148,1966,1,1,0,0,Wood Frame,121000,50000,Not Sell
1.00282E+12,3844 Nicollet Ave #104,SOUTHWEST,602,,15280,1965,1,1,1,0,Wood Frame,97500,126003,Sell
2.20292E+12,700 Washington Ave N #319,CENTRAL,602,,47763,1920,1,1,1,0,Reinforced Concrete,223000,252000,Sell
2.20292E+12,730 4TH St N #109,CENTRAL,602,,90827,2007,1,1,1,0,Reinforced Concrete,232500,225000,Not Sell
2.60292E+12,929 Portland Ave #909,CENTRAL,602,,44274,2006,1,1,1,0,Concrete,209000,210000,Not Sell
3.40292E+12,2616 Harriet Ave #203,POWDERHORN,602,,34722,1970,1,1,1,0,Wood Frame,84500,105000,Sell
3.40292E+12,2616 Harriet Ave #207,POWDERHORN,602,,34722,1970,1,1,1,0,Wood Frame,80500,108000,Sell
6.02823E+11,3211 38TH Ave S,LONGFELLOW,604,453,5400,1922,1,1,1,0,Wood Frame,187000,165000,Not Sell
3.40292E+12,111 Franklin Ave E #221,POWDERHORN,605,,75537,1950,1,0,1,0,Concrete,144500,191000,Sell
2.10282E+12,5440 Bryant Ave S,SOUTHWEST,607,572,5376,1940,1,1,1,0,Wood Frame,226500,240000,Sell
2.30292E+12,401 1ST St S #1720,CENTRAL,607,,70777,1989,1,1,1,0,Reinforced Concrete,252000,224000,Not Sell
2.70292E+12,1800 Lasalle Ave #103,CENTRAL,607,,6885,1961,1,1,1,0,Wood Frame,91000,100000,Sell
1.00282E+12,3844 Nicollet Ave #105,SOUTHWEST,608,,15280,1965,1,1,1,0,Wood Frame,98000,105840,Sell
2.40282E+12,5732 26TH Ave S,NOKOMIS,608,608,5120,1922,1,2,1,0,Wood Frame,163000,179353,Sell
2.30292E+12,401 1ST St S #1103,CENTRAL,612,,70777,1989,1,1,1,0,Reinforced Concrete,239000,230000,Not Sell
3.30292E+12,2733 Girard Ave S #105,CALHOUN-ISLE,612,,10280,1923,1,1,1,0,Wood Frame,122500,130850,Sell
4.02824E+11,3120 Hennepin Ave #107,CALHOUN-ISLE,613,,11638,1958,1,1,1,0,Concrete,118500,130000,Sell
3.00292E+12,2600 University Ave SE #205,UNIVERSITY,614,,40920,2006,1,1,1,0,Wood Frame,177000,177000,Not Sell
2.70292E+12,1900 Stevens Ave #31,CENTRAL,615,,6400,1926,1,1,1,1,Concrete,104000,115000,Sell
4.02924E+11,3646 Newton Ave N,CAMDEN,616,616,5092,1921,1,1,1,0,Wood Frame,74500,70000,Not Sell
5.02924E+11,4363 Queen Ave N,CAMDEN,616,616,5126,1921,1,1,1,0,Wood Frame,119000,155200,Sell
2.30292E+12,401 1ST St S #1204,CENTRAL,616,,70777,1989,1,1,1,0,Reinforced Concrete,244500,250000,Not Sell
1.20282E+12,4034 26TH Ave S,POWDERHORN,616,616,5080,1916,1,2,1,0,Wood Frame,169000,150000,Not Sell
1.21182E+12,4643 Dupont Ave N,CAMDEN,616,616,5120,1923,1,2,1,0,Wood Frame,120000,149380,Sell
8.02824E+11,3517 45TH St W,SOUTHWEST,616,616,6930,1922,2,2,1,0,Wood Frame,260000,396000,Sell
